OBJECTID,Oceans,Regions,SubRegions,Sampling Method,Measurement,Unit,Density Range,Density Class,Short Reference,Long Reference,DOI,Organization,Keywords,Accession Number,Accession Link,Latitude,Longitude,Date,GlobalID,x,y
6366,Pacific Ocean,,,Neuston net,0.00216,pieces/m3,0.0005-0.005,Low,Law et al.2014,"Law, K.L, S.K. Morét-Ferguson, D.S. Goodwin, E.R. Zettler, E. DeForce, T. Kukulka, et al. 2014. Distribution of surface plastic debris in the eastern Pacific Ocean from an 11-year data set. Environ Sci Technol. 48(9):4732–8.",https://doi.org/10.1021/es4053076,Sea Education Association,SEA,211008,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211008,46.37,-124.24,8/4/2002 12:00:00 AM,a175d23c-0d95-4cb1-9584-6fd3b0b0eff1,-124.24,46.3700000000001
6815,Pacific Ocean,,,Neuston net,0,pieces/m3,0-0.0005,Very Low,Law et al.2014,"Law, K.L, S.K. Morét-Ferguson, D.S. Goodwin, E.R. Zettler, E. DeForce, T. Kukulka, et al. 2014. Distribution of surface plastic debris in the eastern Pacific Ocean from an 11-year data set. Environ Sci Technol. 48(9):4732–8.",https://doi.org/10.1021/es4053076,Sea Education Association,SEA,211008,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211008,15.94,-162.49,12/3/2004 12:00:00 AM,21c06027-792a-4aca-9483-9b6b62b8b152,-162.49,15.9400000000001
12317,Pacific Ocean,,,Manta net,1.015313,pieces/m3,1-10,High,Egger et al.2020,"Egger, M., R. Nijhof, L. Quiros, G. Leone, S-J. Royer, A. C. McWhirter, G. A. Kantakov, V. I. Radchenko, E. A. Pakhomov, B. P. V. Hunt, L. Lebreton. 2020. A spatially variable scarcity of floating microplastics in the eastern North Pacific Ocean. Environmental Research Letters 15, 114056. https://doi.org/10.1088/1748-9326/abbb4f",https://doi.org/10.1088/1748-9326/abbb4f,"The Ocean Cleanup, Rotterdam, The Netherlands",The Ocean Cleanup Foundation,276264,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:276264,22.9769,-153.4881,1/10/2019 12:00:00 AM,503bf9b8-9824-4254-b385-57f07f5a8f5d,-153.4881,22.9769000000001
15520,Pacific Ocean,Gulf of California,,PVC cylinder,1410.437236,pieces/m3,500-30000,Medium,Alvarez-Zeferino et al. 2020,"Alvarez-Zeferino, J.C., S. Ojeda-Benítez, A. A. Cruz-Salas, C. Martínez-Salvador, A. Vázquez-Morillas. 2020. Microplastics in Mexican beaches. Resources, Conservation and Recycling 155, 104633. https://doi.org/10.1016/j.resconrec.2019.104633",https://doi.org/10.1016/j.resconrec.2019.104633,"Universidad Autónoma de Baja California, Mexico",Mexico,278270,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:0278270,24.14189,-110.349147,7/13/2018 12:00:00 AM,b269cc61-cccb-4649-adda-8d534dd294ef,-110.349147,24.14189
15514,Pacific Ocean,Gulf of California,,PVC cylinder,0,pieces/m3,0-100,Very Low,Alvarez-Zeferino et al. 2020,"Alvarez-Zeferino, J.C., S. Ojeda-Benítez, A. A. Cruz-Salas, C. Martínez-Salvador, A. Vázquez-Morillas. 2020. Microplastics in Mexican beaches. Resources, Conservation and Recycling 155, 104633. https://doi.org/10.1016/j.resconrec.2019.104633",https://doi.org/10.1016/j.resconrec.2019.104633,"Universidad Autónoma de Baja California, Mexico",Mexico,278270,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:0278270,26.729392,-111.906818,7/11/2018 12:00:00 AM,762ad850-a792-4c02-b9eb-6da3f4069f7f,-111.906818,26.7293920000001
7356,Pacific Ocean,,,Neuston net,0,pieces/m3,0-0.0005,Very Low,Law et al.2014,"Law, K.L, S.K. Morét-Ferguson, D.S. Goodwin, E.R. Zettler, E. DeForce, T. Kukulka, et al. 2014. Distribution of surface plastic debris in the eastern Pacific Ocean from an 11-year data set. Environ Sci Technol. 48(9):4732–8.",https://doi.org/10.1021/es4053076,Sea Education Association,SEA,211008,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211008,31.72,-144.77,7/20/2007 12:00:00 AM,86f4e2bb-f1db-4f1c-b35e-1091222af7b0,-144.77,31.72
12858,Pacific Ocean,,,Manta net,0.493343,pieces/m3,0.005-1,Medium,Egger et al.2020,"Egger, M., R. Nijhof, L. Quiros, G. Leone, S-J. Royer, A. C. McWhirter, G. A. Kantakov, V. I. Radchenko, E. A. Pakhomov, B. P. V. Hunt, L. Lebreton. 2020. A spatially variable scarcity of floating microplastics in the eastern North Pacific Ocean. Environmental Research Letters 15, 114056. https://doi.org/10.1088/1748-9326/abbb4f",https://doi.org/10.1088/1748-9326/abbb4f,"The Ocean Cleanup, Rotterdam, The Netherlands",The Ocean Cleanup Foundation,276264,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:276264,33.65155,-132.9671,9/9/2015 12:00:00 AM,f30b68fa-df38-4804-9443-fd492a72db7e,-132.9671,33.65155
10651,Pacific Ocean,,,Neuston net,0.01,pieces/m3,0.005-1,Medium,Goldstein et al.2013,"Goldstein, M.C., A.J. Titmus, M. Ford. 2013. Scales of Spatial Heterogeneity of Plastic Marine Debris in the Northeast Pacific Ocean. PLoS ONE 8(11): e80020.",https://doi.org/10.1371/journal.pone.0080020,Scripps Institution of Oceanography-University of California San Diego,Great Pacific Garbage Patch/SEAPLEX,253448,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:0253448,31.6,-128.783,2/18/1973 12:00:00 AM,71d4af5c-863d-4798-b554-011ad5847e4f,-128.783,31.6000000000001
9858,Pacific Ocean,,,Grab sample,0,pieces/m3,0-0.0005,Very Low,Barrows et al.2018,"Barrows, A.P.W., S.E. Cathey, C.W. Petersen. 2018. Marine environment microfiber contamination: global patterns and the diversity of microparticle origins. Environ. Pollut. 237, 275?284",https://doi.org/10.1016/j.envpol.2018.02.062,Adventure Scientist,Adventure Scientist/Citizen Science,211009,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211009,46.9092,-124.1755,9/16/2016 12:00:00 AM,9adf68bd-4c54-49f8-aff4-a24e5f24ef71,-124.1755,46.9092000000001
8335,Pacific Ocean,,,Neuston net,0,pieces/m3,0-0.0005,Very Low,Law et al.2014,"Law, K.L, S.K. Morét-Ferguson, D.S. Goodwin, E.R. Zettler, E. DeForce, T. Kukulka, et al. 2014. Distribution of surface plastic debris in the eastern Pacific Ocean from an 11-year data set. Environ Sci Technol. 48(9):4732–8.",https://doi.org/10.1021/es4053076,Sea Education Association,SEA,211008,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211008,2.19,-135.73,12/3/2011 12:00:00 AM,14554945-5209-4728-9a96-8100d35c8b9e,-135.73,2.19000000000005
6417,Pacific Ocean,,,Neuston net,0,pieces/m3,0-0.0005,Very Low,Law et al.2014,"Law, K.L, S.K. Morét-Ferguson, D.S. Goodwin, E.R. Zettler, E. DeForce, T. Kukulka, et al. 2014. Distribution of surface plastic debris in the eastern Pacific Ocean from an 11-year data set. Environ Sci Technol. 48(9):4732–8.",https://doi.org/10.1021/es4053076,Sea Education Association,SEA,211008,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211008,16.83,-116.12,12/13/2002 12:00:00 AM,bea7cbcf-3fe8-4056-bb10-6c9cc4cc1447,-116.12,16.83
12912,Pacific Ocean,,,Manta net,1.692349,pieces/m3,1-10,High,Egger et al.2020,"Egger, M., R. Nijhof, L. Quiros, G. Leone, S-J. Royer, A. C. McWhirter, G. A. Kantakov, V. I. Radchenko, E. A. Pakhomov, B. P. V. Hunt, L. Lebreton. 2020. A spatially variable scarcity of floating microplastics in the eastern North Pacific Ocean. Environmental Research Letters 15, 114056. https://doi.org/10.1088/1748-9326/abbb4f",https://doi.org/10.1088/1748-9326/abbb4f,"The Ocean Cleanup, Rotterdam, The Netherlands",The Ocean Cleanup Foundation,276264,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:276264,29.18025,-132.9814,9/15/2015 12:00:00 AM,11f7bf5d-ce15-4639-837e-d05abe1d46aa,-132.9814,29.1802500000001
8584,Pacific Ocean,,,Neuston net,6.68962,pieces/m3,1-10,High,Law et al.2014,"Law, K.L, S.K. Morét-Ferguson, D.S. Goodwin, E.R. Zettler, E. DeForce, T. Kukulka, et al. 2014. Distribution of surface plastic debris in the eastern Pacific Ocean from an 11-year data set. Environ Sci Technol. 48(9):4732–8.",https://doi.org/10.1021/es4053076,Sea Education Association,SEA,211008,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211008,25.35,-141.11,10/24/2012 12:00:00 AM,86a66ab7-8d75-4864-b353-866d21a3159e,-141.11,25.35
8089,Pacific Ocean,,,Neuston net,0,pieces/m3,0-0.0005,Very Low,Law et al.2014,"Law, K.L, S.K. Morét-Ferguson, D.S. Goodwin, E.R. Zettler, E. DeForce, T. Kukulka, et al. 2014. Distribution of surface plastic debris in the eastern Pacific Ocean from an 11-year data set. Environ Sci Technol. 48(9):4732–8.",https://doi.org/10.1021/es4053076,Sea Education Association,SEA,211008,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211008,22.11,-141.71,3/8/2011 12:00:00 AM,ba850c0e-2586-4560-ae38-955b3c91d937,-141.71,22.1100000000001
8830,Pacific Ocean,,,Grab sample,0.013,pieces/m3,0.005-1,Medium,Barrows et al.2018,"Barrows, A.P.W., S.E. Cathey, C.W. Petersen. 2018. Marine environment microfiber contamination: global patterns and the diversity of microparticle origins. Environ. Pollut. 237, 275?284",https://doi.org/10.1016/j.envpol.2018.02.062,Adventure Scientist,Adventure Scientist/Citizen Science,211009,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211009,22.9963,-146.9778,8/5/2014 12:00:00 AM,2586c99f-f617-41ac-9017-908f8cbc60bd,-146.9778,22.9963000000001
12666,Pacific Ocean,,,Manta net,0.285813,pieces/m3,0.005-1,Medium,Egger et al.2020,"Egger, M., R. Nijhof, L. Quiros, G. Leone, S-J. Royer, A. C. McWhirter, G. A. Kantakov, V. I. Radchenko, E. A. Pakhomov, B. P. V. Hunt, L. Lebreton. 2020. A spatially variable scarcity of floating microplastics in the eastern North Pacific Ocean. Environmental Research Letters 15, 114056. https://doi.org/10.1088/1748-9326/abbb4f",https://doi.org/10.1088/1748-9326/abbb4f,"The Ocean Cleanup, Rotterdam, The Netherlands",The Ocean Cleanup Foundation,276264,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:276264,31.75,-153.14165,8/11/2015 12:00:00 AM,0fc06a16-f10a-4284-b79f-3c25d80f8564,-153.14165,31.7500000000001
8338,Pacific Ocean,,,Neuston net,0.44862,pieces/m3,0.005-1,Medium,Law et al.2014,"Law, K.L, S.K. Morét-Ferguson, D.S. Goodwin, E.R. Zettler, E. DeForce, T. Kukulka, et al. 2014. Distribution of surface plastic debris in the eastern Pacific Ocean from an 11-year data set. Environ Sci Technol. 48(9):4732–8.",https://doi.org/10.1021/es4053076,Sea Education Association,SEA,211008,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211008,40.38,-157.49,12/5/2011 12:00:00 AM,2bfb8b92-ecd8-4db8-8085-124d91c12491,-157.49,40.3800000000001
9912,Pacific Ocean,Bering Sea,,Grab sample,0.003,pieces/m3,0.0005-0.005,Low,Barrows et al.2018,"Barrows, A.P.W., S.E. Cathey, C.W. Petersen. 2018. Marine environment microfiber contamination: global patterns and the diversity of microparticle origins. Environ. Pollut. 237, 275?284",https://doi.org/10.1016/j.envpol.2018.02.062,Adventure Scientist,Adventure Scientist/Citizen Science,211009,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211009,61.1444,-165.3639,8/30/2016 12:00:00 AM,50f75192-d504-48ac-aa38-bba8d345931c,-165.3639,61.1444000000001
7843,Pacific Ocean,,,Neuston net,0,pieces/m3,0-0.0005,Very Low,Law et al.2014,"Law, K.L, S.K. Morét-Ferguson, D.S. Goodwin, E.R. Zettler, E. DeForce, T. Kukulka, et al. 2014. Distribution of surface plastic debris in the eastern Pacific Ocean from an 11-year data set. Environ Sci Technol. 48(9):4732–8.",https://doi.org/10.1021/es4053076,Sea Education Association,SEA,211008,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211008,33.38,-156.38,8/19/2009 12:00:00 AM,5a84ac33-0de4-4385-9433-cec4f0953085,-156.38,33.3800000000001
7502,Pacific Ocean,,,Neuston net,0,pieces/m3,0-0.0005,Very Low,Law et al.2014,"Law, K.L, S.K. Morét-Ferguson, D.S. Goodwin, E.R. Zettler, E. DeForce, T. Kukulka, et al. 2014. Distribution of surface plastic debris in the eastern Pacific Ocean from an 11-year data set. Environ Sci Technol. 48(9):4732–8.",https://doi.org/10.1021/es4053076,Sea Education Association,SEA,211008,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211008,20.35,-154.67,5/28/2008 12:00:00 AM,cff2590c-7359-46c1-9c61-19aac8605c97,-154.67,20.35
